animeTitle	Youkai Watch!
animeType	TV
animeNumEpisode	36
releaseDate	
endDate	
animeNumMembers	
animeScore	6.25
animeUsers	700
animeRank	
animePopularity	9322
animeDescription	A new season of Youkai Watch focusing on elementary schooler Keita Amano again. The events take place right after the original season; but still chronologically occur before the now complete Shadow Side events as they take place 30 years in the future. 
animeRelated	['Youkai Watch', 'Youkai Watch: Shadow Side', 'Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka']
animeCharacters	['Jibanyan', 'Komasan', 'Whisper', 'Amano, Keita', 'Misora, Inaho', 'USApyon', 'Imada, Kanchi', 'Kodama, Fumika', 'Jimenken', 'Kumashima, Gorouta']
animeVoices	[]
animeStaff	[['Kawagoe, Kazuki', 'Storyboard'], ['Maekawa, Hiroki', 'Theme Song Performance'], ['Komori, Mayumi', 'Editing']]
