animeTitle	b'Super Erotic Anime'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.11
animeUsers	113
animeRank	
animePopularity	
animeDescription	b'Episode 1: Madonna Kimochi ii Koto Shite Kudasai (\xe3\x83\x9e\xe3\x83\x89\xe3\x83\xb3\xe3\x83\x8a \xe6\xb0\x97\xe6\x8c\x81\xe3\x81\xa1\xe3\x81\x84\xe3\x81\x84\xe4\xba\x8b\xe3\x81\x97\xe3\x81\xa6\xe4\xb8\x8b\xe3\x81\x95\xe3\x81\x84\xe3\x80\x82)\nEpisode 2: Ane & Imouto Kimochi ii Koto Shite Kudasai (\xe5\xa7\x89\xef\xbc\x86\xe5\xa6\xb9 \xe6\xb0\x97\xe6\x8c\x81\xe3\x81\xa1\xe3\x81\x84\xe3\x81\x84\xe4\xba\x8b\xe3\x81\x97\xe3\x81\xa6\xe4\xb8\x8b\xe3\x81\x95\xe3\x81\x84\xe3\x80\x82)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
