animeTitle	Yowamushi Pedal: Special Ride
animeType	OVA
animeNumEpisode	1
releaseDate	2013-08-08 00:00:00
endDate	
animeNumMembers	17460
animeScore	7.38
animeUsers	8461
animeRank	2061
animePopularity	4243
animeDescription	"Sakamichi Onoda is an otaku who just wants to find more people to join the recently disbanded anime club with him. However, when a couple cyclists spy his skill in riding the bulky mamachari bike he's had since youth, they attempt to convince him to join the bicycle racing club instead. 

An OVA bundled with the 29th volume of the comic book."
animeRelated	['Yowamushi Pedal']
animeCharacters	['Onoda, Sakamichi', 'Makishima, Yuusuke', 'Midousuji, Akira', 'Arakita, Yasutomo', 'Manami, Sangaku', 'Naruko, Shoukichi', 'Toudou, Jinpachi', 'Teshima, Junta', 'Shinkai, Hayato', 'Imaizumi, Shunsuke']
animeVoices	['Yamashita, Daiki', 'Morikubo, Shoutarou', 'Yoshino, Hiroyuki', 'Yonaga, Tsubasa', 'Fukushima, Jun', 'Kakihara, Tetsuya', 'Kishio, Daisuke', 'Hino, Satoshi', 'Toriumi, Kousuke']
animeStaff	[['Suwa, Ayaka', 'Theme Song Performance']]
