animeTitle	ID-0
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	7572
animeRank	
animePopularity	4099
animeDescription	"Transferring the human consciousness into a robotic ""I-Machine"" is now a reality thanks to the discovery of a valuable ore called ""orichalt."" However, there is the possibility of the consciousness failing to return to the host's body, rendering them stuck inside their new metallic frame for good. Such is the situation of members of the Excavate Company, a reckless band of I-Machine miners led by the notorious Grayman that aims to gather orichalt for profit.  

During a mining incursion, the group rescues Maya Mikuri, a student who was abandoned by her crew. Accused of stealing classified information on orichalt by her former colleagues, she joins the Excavate Company in hopes of clearing her name. They then begin an adventure that will change their lives—including that of Ido, an ace member of the group with no memory of his past. For the first time, Ido might have the chance to rediscover his true identity.

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Ido', 'Mikuri, Maya', 'Alice', 'Ayer, Rick', 'Houjou, Clair', 'Grayman', 'Genne, Cecilia', 'Anai', 'Record, Jennifer', 'Hakubi, Urakuou']
animeVoices	['Okitsu, Kazuyuki', 'Tsuda, Minami', 'Ueda, Reina', 'Matsukaze, Masaya', 'Kanemoto, Hisako', 'Koyama, Rikiya', 'Katsuki, Masako', 'Watanabe, Akeno', 'Inoue, Kikuko', 'Mugihito']
animeStaff	[['Taniguchi, Gorou', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kageyama, Hironobu', 'Theme Song Performance'], ['Sasaki, Sayaka', 'Theme Song Performance']]
