animeTitle	Tatakae! Osper
animeType	TV
animeNumEpisode	52
releaseDate	1965-12-14 00:00:00
endDate	1967-10-11 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13990
animeDescription	"On a distant world, people with paranormal powers battle each other.

Based on a story by Yamano Kouichi.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Osper', 'Kaizu, Yumi']
animeVoices	['Yamamoto, Keiko', 'Tama, Megumi']
animeStaff	[['Tomino, Yoshiyuki', 'Episode Director'], ['Okaseko, Nobuhiro', 'Episode Director'], ['Yamano, Kouichi', 'Original Creator, Screenplay']]
