animeTitle	Blue Gender: The Warrior
animeType	Movie
animeNumEpisode	1
releaseDate	2002-11-20 00:00:00
endDate	
animeNumMembers	10335
animeScore	6.23
animeUsers	4681
animeRank	7543
animePopularity	5237
animeDescription	"It is a time of chaos. Earth is no longer what it used to be. It has been infested with a bug like species called the Blue. 20 years ago Yuji Kaido, who has a mysterious disease, is put into suspended animation until a cure is found. When he wakes up Yuji learns that it’s been more than 20 years since he was put into suspended animation, and the world is now controlled by these creatures. He then decides to join a group of soldiers fighting against the Blue for hope of a better future.

(Source: ANN)"
animeRelated	['Blue Gender']
animeCharacters	['Angel, Marlene', 'Kaido, Yuji', 'Miyagi, Seno', 'Heald, Joey', 'Whistle, Alicia', 'Bean, Keith', 'Captain of the Baikonour team', 'Frost, Tony']
animeVoices	['Kuwashima, Houko', 'Nojima, Kenji', 'Hori, Katsunosuke', 'Suganuma, Hisayoshi', 'Yasuda, Miwa', 'Wakamoto, Norio', 'Sato, Yuki']
animeStaff	[['Watson, Barry', 'Producer'], ['Ohata, Koichi', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Perry, Ward', 'Script']]
