animeTitle	b'Kenzen Robo Daimidaler Specials'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	2840
animeRank	
animePopularity	
animeDescription	b'Mini-OVA specials bundled with each Blu-ray/DVD volume of Kenzen Robo Daimidaler.'
animeRelated	[b'Kenzen Robo Daimidaler']
animeCharacters	[b'Sonan, Kyouko', b'Madanbashi, Kouichi', b'Seaberry, Rikantz', b'Ameku, Shouma', b'Kiyuna, Kiriko', b'Nelson', b'Majikina, Soriko', b'Penguin Emperor', b'Dennis', b'Jake']
animeVoices	[b'\nHikasa, Youko\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nSuzaki, Aya\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n', b'\nIshigami, Shizuka\nJapanese\n', b'\nFukushima, Jun\nJapanese\n', b'\nKido, Ibuki\nJapanese\n', b'\nHori, Hideyuki\nJapanese\n', b'\nAsanuma, Shintaro\nJapanese\n', b'\nItou, Kentarou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nChapin, Clifford\n\nADR Director\n\n', b'\nFukunaga, Gen\n\nExecutive Producer\n\n', b'\nNakanishi, Ryousuke\n\nMusic\n\n', b'\nMasuda, Toshihiko\n\nKey Animation\n\n']
