animeTitle	b'Blade & Soul'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	48635
animeRank	
animePopularity	
animeDescription	"b""Alka is an assassin for the Clan of the Sword. She's on a journey to find the woman Jin Valel, who killed her master Hon without feeling\xe2\x80\x94not unlike how Alka has learned to kill in her work as an assassin. On her journey, Alka encounters three strange women, each a great warrior in her own right and grapples with her slain master's wish that she leaves the life of an assassin behind.\n\n(Source: ANN) """
animeRelated	[b'Blade & Soul Specials']
animeCharacters	[b'Alka', b'El, Karen', b'Jin, Varel', b'Jin, Hazuki', b'Dan, Roana', b'Ran, Yu', b'Yuu', b'Masa', b'Shou', b'Koga']
animeVoices	[b'\nTakao, Yuki\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nShimozaki, Hiroshi\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHamasaki, Hiroshi\n\nDirector\n\n', b'\nTakeuchi, Hiroshi\n\nDirector\n\n', b'\nMorishita, Hiroto\n\nSound Director\n\n', b'\nYamauchi, Shigeyasu\n\nEpisode Director, Storyboard\n\n']
