animeTitle	Sakigake!! Cromartie Koukou
animeType	TV
animeNumEpisode	26
releaseDate	2003-10-03 00:00:00
endDate	2004-03-26 00:00:00
animeNumMembers	120467
animeScore	7.92
animeUsers	45252
animeRank	666
animePopularity	1397
animeDescription	"Takashi Kamiyama is your typical mild-mannered high school student—polite, aloof, and pacifistic, with a slightly above-average IQ. But would your average high school student really enroll himself at the infamous Cromartie High School, known as a breeding ground for the toughest delinquents out there?

Apparently so, as that is exactly what Takashi does, though for reasons he'd rather leave unmentioned. However, one thing is for sure: the ""hard-boiled rabbit in a den full of hungry lions"" is never going to have another dull day. And how could he, now that he's surrounded by mohawked punks, obnoxious robots, and... gorillas? And was that Freddie Mercury riding a horse down the corridor? Follow Takashi as he earnestly dedicates his new high school life to better his school's reputation while his classmates are hellbent on wreaking havoc.

[Written by MAL Rewrite]
"
animeRelated	['Sakigake!! Cromartie Koukou']
animeCharacters	['Freddie', 'Mechazawa, Shinichi', 'Kamiyama, Takashi', 'Hayashida, Shinjirou', 'Maeda, Akira', 'Di Gi Charat', 'Yamaguchi, Noboru', 'Takenouchi, Yutaka', 'Go, Hiromi', 'Mechazawa, Beta']
animeVoices	['Wakamoto, Norio', 'Sakurai, Takahiro', 'Suzuki, Takuma', 'Inada, Tetsu', 'Kazama, Yuuto', 'Naitou, Ryou', 'Kanai, Mika']
animeStaff	[['Kobayashi, Noriko', 'Producer'], ['Sakurai, Hiroaki', 'Director, Storyboard'], ['Moriwaki, Makoto', 'Episode Director'], ['Imaishi, Hiroyuki', 'Storyboard']]
