animeTitle	Jewelpet Kira☆Deco!
animeType	TV
animeNumEpisode	52
releaseDate	2012-04-07 00:00:00
endDate	2013-03-30 00:00:00
animeNumMembers	
animeScore	6.71
animeUsers	869
animeRank	
animePopularity	8087
animeDescription	"In the Legends of Jewel Land, the Jewelpets were born from the love and caring of their queen, Jewelina. However a strange meteor crashes into the Mirror Ball, destroying it into a million pieces and its fragments called ""Deco Stones"" were all scattered in Jewel Land. In the present time, Ruby, a dimwitted Rabbit Jewelpet and owner of the Kira Kira Shop, has a thing on sparkly decorations and loves to collect anything that sparkles and shines. However, when she and the others learn about the legend of the Mirror Ball and the Deco Stones, they all decided to go and search for them, until they all meet 5 strange individuals called the KiraDeco 5. The group also has the same goal on wanting to collect the Deco Stones and they befriended the Jewelpets, especially to one of their members: Pink Oomiya. Now, the group need to gather all the Deco Stones and stop the Eternal Darkness from taking over the human world. 

(Source: ANN) "
animeRelated	['Jewelpet', 'Jewelpet Magical Change', 'Jewelpet: Attack Chance!?', 'Jewelpet Sunshine', 'Jewelpet Happiness']
animeCharacters	['Ruby', 'Sapphie', 'Garnet', 'Akagi, Midori', 'Oomiya, Pink', 'Furano, Kiichi', 'Akagi, Retsu', 'Ozaki, Blue Knight', 'Labra', 'Angela']
animeVoices	['Saitou, Ayaka', 'Sasaki, Nozomi', 'Hirano, Aya', 'Toyosaki, Aki', 'Sonoda, Yasutaka', 'Terashima, Takuma', 'Ono, Daisuke', 'Sawashiro, Miyuki']
animeStaff	[['Moriwaki, Makoto', 'Director, Episode Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Ookubo, Masao', 'Episode Director, Storyboard, Key Animation'], ['Kuraya, Ryouichi', 'Episode Director']]
