animeTitle	Shin Dokonjou Gaeru: Dokonjou Yumemakura
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14229
animeDescription	After Hiroshi daydreams about marrying Kyoko, his chauvinistic behavior puts a strain on his relationship with his closest of friends.
animeRelated	['Shin Dokonjou Gaeru']
animeCharacters	['Hiroshi', 'Pyonkichi', 'Sagawa, Umesaburou']
animeVoices	[]
animeStaff	[['Kobayashi, Osamu', 'Animation Director'], ['Yoshizawa, Yasumi', 'Original Creator'], ['Takahashi, Hirokata', 'Director of Photography'], ['Tsurubuchi, Yoshihisa', 'Editing']]
