animeTitle	Shoujo Fight: Norainu-tachi no Odekake
animeType	OVA
animeNumEpisode	1
releaseDate	2009-10-23 00:00:00
endDate	
animeNumMembers	740
animeScore	
animeUsers	
animeRank	13335
animePopularity	11908
animeDescription	"The story follows Neri Ooishi, a high school girl who is a talented volleyball player. She once was the captain of an elementary school team that went all the way to the national tournament. However, she spent three years as an alternate at a junior high school renowned for its volleyball program. Now she is in high school with new teammates, and she gets a chance to prove herself again. 

The sixth manga volume will have a ""special edition"" that will ship with the anime DVD on October 23. Nihonbashi herself is writing the script for the anime, and Prodution I.G is animating it."
animeRelated	['Shoujo Fight']
animeCharacters	['Ooishi, Neri', 'Nobutomo, Atsuko', 'Hayasaka, Nao', 'Jinnai, Fueko', 'Itami, Shino', 'Hachiya, Yuka', 'Inugami, Kyouko', 'Kamakura, Sara', 'Shikishima, Michiru']
animeVoices	['Mizuki, Nana', 'Suzumura, Kenichi']
animeStaff	[['Kuroki, Rui', 'Producer'], ['Tada, Shunsuke', 'Director'], ['Ezaki, Shinpei', 'Episode Director'], ['Nihonbashi, Yowoko', 'Script']]
