animeTitle	Kuruneko 2nd Season
animeType	TV
animeNumEpisode	50
releaseDate	2010-07-03 00:00:00
endDate	2011-07-02 00:00:00
animeNumMembers	1280
animeScore	6.99
animeUsers	363
animeRank	3851
animePopularity	10527
animeDescription	"Second season of the everyday life of the lady with many cats. Based on a blog by the cat owner.

Actress Miki Nakatani (Ringu, Densha Otoko) will take over the series' voice acting duty in second season."
animeRelated	['Kuruneko', 'Kuruneko: Nyaalock Holmes no Bouken', 'Kuruneko (ONA)']
animeCharacters	['Narrator']
animeVoices	[]
animeStaff	[]
