animeTitle	Futsuu no Joshikousei ga [Locodol] Yattemita.
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	14883
animeRank	
animePopularity	2751
animeDescription	"In the town of Nagarekawa, Nanako Usami, an ordinary high school girl, is approached by her uncle to become a local idol or ""Locodol,"" partnering with upperclassman Yukari Kohinata to form the idol unit, Nagarekawa Girls. As the girls use their talent to promote Nagarekawa and their businesses, they are joined by Yui Mikoze, who acts as the local mascot, and Mirai Nazukari, who serves as Yui's substitute.

(Source: Wikipedia)"
animeRelated	['Futsuu no Joshikousei ga [LocoDol] Yattemita.', 'Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.', 'Futsuu no Joshikousei ga [Locodol] Yattemita. OVA']
animeCharacters	['Usami, Nanako', 'Kohinata, Yukari', 'Mikoze, Yui', 'Nazukari, Mirai', 'Kashiwaba, Satsuki', 'Anan, Aoi', 'Mima, Miyako', 'Oota, Mitsugu', 'Mizumoto, Misato', 'Nishifukai, Saori']
animeVoices	['Itou, Miku', 'Misawa, Sachika', 'Yoshioka, Maya', 'Minase, Inori', 'Izawa, Mikako', 'Imai, Asami', 'Nitta, Emi', 'Murozono, Takehiro', 'Tsuda, Minami', 'Shimoda, Asami']
animeStaff	[['Nawa, Munenori', 'Director'], ['Yoshida, Tomohiro', 'Sound Director'], ['Murakami, Momoko', 'Script'], ['Yamamoto, Takashi', 'Storyboard']]
