animeTitle	Tokubetsu Jugyou
animeType	OVA
animeNumEpisode	2
releaseDate	2001-05-11 00:00:00
endDate	2001-08-10 00:00:00
animeNumMembers	2775
animeScore	5.41
animeUsers	789
animeRank	
animePopularity	8577
animeDescription	Professor Saki used to be a normal woman... until her heart and mind were twisted by her sadistic boyfriend Mikami. Fired from his last teaching job for assaulting one of his students, he forces Saki into getting him a teaching position at her all-girl college. With beautiful buxom ladies everywhere, Mikami's dark desires quickly target his new female students for some very special private sessions - and this time he plans on making Saki help him. Will Saki's misguided love for Mikami drive her to help him trap innocent women in his demented little world.
animeRelated	['Tokubetsu Jugyou', 'Tokubetsu Jugyou 2']
animeCharacters	['Sakurano, Minori']
animeVoices	[]
animeStaff	[['Omata, Shinichi', 'Producer'], ['Yanase, Yuuji', 'Director, Character Design'], ['Bishop', 'Original Creator'], ['Nishi, Shigenari', 'Editing']]
