animeTitle	Soul Link Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	968
animeRank	
animePopularity	8696
animeDescription	Recap Special. First half of the episode follows Cellaria from her point of view and her narration. Second part follows Nanami from her point of view with her narration. Takes place between episodes 10 and 11 (Episode 10.5).
animeRelated	['Soul Link']
animeCharacters	['Inatsuki, Nanami', 'Markelight, Cellaria', 'Morisaki, Nao', 'Tachibana, Karen', 'Sugimoto, Aya', 'Nitta, Aki', 'Nagase, Sayaka', 'Aizawa, Ryota', 'Aizawa, Shuhei', 'Nitta, Kazuhiko']
animeVoices	['Yanase, Natsumi', 'Tezuka, Chiharu', 'Sakuma, Kumi', 'Shouji, Yui', 'Nanjou, Yoshino', 'Oono, Marina', 'Masuda, Yuki', 'Ogihara, Hideki', 'Itou, Kentarou', 'Koyasu, Takehito']
animeStaff	[['Hashimoto, Miyuki', 'Theme Song Performance'], ['Suzuhira, Hiro', 'Original Character Design'], ['Navel', 'Original Creator']]
