animeTitle	Manaria Friends
animeType	TV
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	26132
animeRank	
animePopularity	1617
animeDescription	"Mysteria Academy is a prestigious magic school that teaches magic without discrimination to the three factions (men, gods, demons), who usually are engaged in battle with each other. Two of the academy's students are Anne, a princess and honor student, and Grea, a princess born from a dragon and a human.

(Source: ANN)"
animeRelated	['Shingeki no Bahamut: Manaria Friends', 'Shingeki no Bahamut: Genesis']
animeCharacters	['Grea', 'Anne', 'Owen', 'Lou', 'Hanna', 'Miranda', 'Poppy', 'Heinlein', 'William']
animeVoices	['Fukuhara, Ayaka', 'Hikasa, Youko', 'Hatano, Wataru', 'Koyama, Kimiko', 'Mizuki, Nana', 'Inoue, Kikuko', 'Lynn', 'Sawashiro, Chiharu', 'Uchida, Yuuma']
animeStaff	[['Okamoto, Hideki', 'Director, Episode Director'], ['Tanaka, Ryou', 'Sound Director'], ['Takahashi, Tooru', 'Episode Director'], ['Uchiyama, Mana', 'Episode Director']]
