animeTitle	Anata wo Zutto Aishiteru
animeType	Movie
animeNumEpisode	1
releaseDate	2015-06-06 00:00:00
endDate	
animeNumMembers	1211
animeScore	6.28
animeUsers	336
animeRank	7257
animePopularity	10668
animeDescription	This movie is a Japanese-Korean co-production. Released in Korea under the name Gonyeoseog Masnagessda 2: Hamkkelaseo Haengboghae.
animeRelated	['Omae Umasou da na', 'Annyeong, Tyrano: Yeong-wonhi, Hamkke']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
