animeTitle	Kennel Tokorozawa
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	3.91
animeUsers	1173
animeRank	
animePopularity	9182
animeDescription	"Pet shop owner's daughter Chika Tokorozawa spends every waking hour with her dog, Rin Tin Tin, who repays her love by watching over her while she sleeps. Based on the manga in Young Sunday magazine by Maki Otsubo, who is better known in the manga world for Mr. Cinema.

(Source: Anime Vice)"
animeRelated	['Kennel Tokorozawa']
animeCharacters	['Rin Tin Tin', 'Tokorozawa, Chika']
animeVoices	['Onishi, Jimmy', 'Tominaga, Miina']
animeStaff	[['Sasagawa, Hiroshi', 'Chief Animation Director'], ['Ootsubo, Maki', 'Original Character Design, Original Creator']]
