animeTitle	Haiyore! Nyaruko-san W
animeType	TV
animeNumEpisode	12
releaseDate	2013-04-08 00:00:00
endDate	2013-07-01 00:00:00
animeNumMembers	161477
animeScore	7.25
animeUsers	81695
animeRank	2659
animePopularity	1098
animeDescription	"Nyaruko still wants Mahiro, as does Hasuta. Kūko wants Nyaruko, but believes both Nyaruko's and Mahiro's ""first time"" belongs to her. Yoriko puts up with all of it and cheerfully runs the house where they all live. Mahiro just wants some sanity. He doesn't want to be the love toy of a Nyarlathotepan, Cthughan, or a shots-like Hasturan. He may or may not hold out.

(Source: ANN)"
animeRelated	['Haiyore! Nyaruko-san', 'Haiyore! Nyaruko-san W OVA', 'Haiyore! Nyaruko-san F']
animeCharacters	['Nyaruko', 'Cthuko', 'Hasuta', 'Yasaka, Mahiro', 'Shantak-kun', 'Kurei, Tamao', 'Yasaka, Yoriko', 'Jistone, Luhy', 'Yoichi, Takehiko', 'Maid']
animeVoices	['Asumi, Kana', 'Matsuki, Miyu', 'Seki, Tomokazu', 'Kitamura, Eri', 'Arai, Satomi', 'Ootsubo, Yuka', 'Hisakawa, Aya', 'Kouda, Mariko', 'Hatano, Wataru', 'Shibuya, Azuki']
animeStaff	[['Nagasawa, Tsuyoshi', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Kitakubo, Hiroyuki', 'Episode Director, Storyboard, Key Animation'], ['Kugimiya, Rie', 'Theme Song Performance']]
