animeTitle	b'Tsuri Baka Nisshi'
animeType	b'TV'
animeNumEpisode	36
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Hamazaki Densuke (Hama-chan) is an unavaricious white-collar worker who does not have any interest in success and self-protection. Even though he incurs the wrath of his superior and stir ill feelings from his wife, Hama-chan prefers to take things at his own stride and goes fishing. He feels that there are more important things in life than work and enjoys the simple things in life such as fishing.\n\n(Source: ANN)'
animeRelated	[b'Tsuribaka Nisshi']
animeCharacters	[b'Hamasaki, Koitaro']
animeVoices	[b'\nSato, Akemi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAiuchi, Rina\n\nTheme Song Lyrics, Theme Song Performance\n\n', b'\nGen, Tetsuya\n\nTheme Song Composition\n\n', b'\nShiramine, Mitsuko\n\nTheme Song Lyrics\n\n', b'\nMaeda, Toshiaki\n\nTheme Song Arrangement\n\n']
