animeTitle	Guy: Youma Kakusei
animeType	OVA
animeNumEpisode	2
releaseDate	1988-12-06 00:00:00
endDate	1992-07-15 00:00:00
animeNumMembers	2150
animeScore	5.52
animeUsers	756
animeRank	
animePopularity	9241
animeDescription	"Guy is just one of those misunderstood, lovable fellows who just happens to be one of the nastiest soldiers of fortune you've ever seen... and his partner is worse! They could be, however, the only thing that can battle Dr. Vail and breathe afterwards!

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
