animeTitle	Morizo to Kikkoro
animeType	TV
animeNumEpisode	52
releaseDate	2004-04-03 00:00:00
endDate	2004-09-24 00:00:00
animeNumMembers	192
animeScore	
animeUsers	
animeRank	12157
animePopularity	16194
animeDescription	"Morizo and Kikkoro are the official mascot characters of EXPO 2004 Aichi, Japan. They are fairies of forest, they teach us the strength and beauty of nature that we tend to forget. The EXPO will be held on Kasho Forest in Seto, where Morizo and Kikkoro, the fairies of forest, are living. Morizo is an old and knowledgeable creature that has been living for thousands years. Kikkoro was a child of forest born little before, and he likes Kikkoro very much He is curious about everything he sees, and his daily lives are full of wonders.

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
