animeTitle	b'Bocchan'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	244
animeRank	
animePopularity	
animeDescription	"b""This is a different version of the story than the one included in the Seishun Anime Zenshu TV series.\n\nBocchan, a recent graduate, sets out for his first teaching assignment\xe2\x80\xa6 never anticipating what awaits him. He must contend with students who spy on him and pull nasty stunts and with a landlord who constantly tries to sell him worthless antiques. While on a fishing trip to boost his spirits, Bocchan suspects Hotta, his one friend in the village, as the cause of all of his misery. But this is just beginning of his problems\xe2\x80\xa6During a meeting to discuss the students' disrespectful behavior towards Bocchan, the proposed punishment is surprisingly mild despite the severity of the acts. Yet, Bocchan's suspected adversary defends him! Were the other faculty members lying about Hotta? Bocchan may soon discover the truth, for when evidence of the dean\xe2\x80\x99s activities surface, Bocchan and Hotta must team up to corner the dean in his own scandalous game! \n\n(Source: ANN) """
animeRelated	[b'Seishun Anime Zenshuu']
animeCharacters	[b'Bocchan', b'Nodaiko', b'Uranari', b'Red Shirt', b'Chibi', b'Tanuki', b'Narrator', b'Yamaarashi']
animeVoices	[b'\nSaijo, Hideki\nJapanese\n', b'\nTanonaka, Isamu\nJapanese\n', b'\nYamada, Yasuo\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nNozawa, Masako\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n', b'\nKume, Akira\nJapanese\n', b'\nNaya, Gorou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDezaki, Osamu\n\nProducer\n\n', b'\nTakeuchi, Yoshio\n\nEpisode Director, Storyboard\n\n', b'\nMonkey Punch\n\nCharacter Design\n\n', b'\nMorimoto, Kouji\n\nIn-Between Animation\n\n']
