animeTitle	Robocar Poli 3
animeType	TV
animeNumEpisode	26
releaseDate	2014-02-26 00:00:00
endDate	2014-05-22 00:00:00
animeNumMembers	122
animeScore	
animeUsers	
animeRank	12970
animePopularity	17503
animeDescription	"The travel reporter camping car 'Camp', the new Broomstown port authority manager 'Belle', and the cute forklift 'Lifty' are all newcomers to Broomstown. And Bruner has a new cute cousin named 'Bruny'!

Source: Robocar POLI"
animeRelated	['Robocar Poli 2', 'Robocar Poli 4']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
