animeTitle	Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!
animeType	Movie
animeNumEpisode	1
releaseDate	1991-11-02 00:00:00
endDate	
animeNumMembers	
animeScore	7.25
animeUsers	10510
animeRank	
animePopularity	4041
animeDescription	"All is well at the Tendo residence when from out of nowhere, a Chinese girl named Lychee appears, seeking revenge on Happosai for a broken promise made since her birth. Things get worse when Kirin and the Seven Lucky Gods appear and abduct Akane to take as his wife. Ranma and the gang must travel to Nekonron, China, and save Akane from getting married to Kirin. 

(Source: ANN)"
animeRelated	['Ranma ½']
animeCharacters	['Saotome, Ranma', 'Tendou, Akane', 'Hibiki, Ryouga', 'Shampoo', 'Kuonji, Ukyo', 'Tendou, Nabiki', 'Saotome, Genma', 'Kuno, Tatewaki', 'Tendou, Kasumi', 'Mousse']
animeVoices	['Hayashibara, Megumi', 'Hidaka, Noriko', 'Yamadera, Kouichi', 'Sakuma, Rei', 'Tsuru, Hiromi', 'Takayama, Minami', 'Ogata, Kenichi', 'Suzuoki, Hirotaka', 'Inoue, Kikuko', 'Seki, Toshihiko']
animeStaff	[['Iuchi, Shuji', 'Director, Screenplay'], ['Yamamoto, Yuusuke', 'Episode Director, Storyboard'], ['Yanagawa, Shigeru', 'Script'], ['Hidaka, Masamitsu', 'Storyboard']]
