animeTitle	b'Good Morning'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	2805
animeRank	
animePopularity	
animeDescription	"b'A not so ""good morning"" greets a little bear as he tries desperately to reach his destination on time but is hampered by improbable obstacles along the way. Directed and produced by Takashi Murakami of ""Superflat Monogram"" fame.'"
animeRelated	[]
animeCharacters	[b'Graduation Bear']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Takashi\n\nDirector\n\n', b'\nWest, Kanye\n\nTheme Song Performance\n\n']
