animeTitle	Succubus Appli: Gakuen Sai*
animeType	OVA
animeNumEpisode	Unknown
releaseDate	2021-07-30 00:00:00
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	657
animeRank	
animePopularity	9132
animeDescription	"The plot begins when the protagonist notices that a very strange application is installed on his phone, apparently he can hypnotize whoever he wants by just taking a photo, so he decides to check with one of his classmates if the application works...

(Source: BestWallpapersYT)
"
animeRelated	['Succubus Appli ~Gakuen Saimin~']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
