animeTitle	Nozoki Kanojo
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	1137
animeRank	
animePopularity	7939
animeDescription	"Yoshizawa Kaede is the perfect student who waters the plants and greets the security guard everyday before going to class. The security guard, Hiragi, masturbates to pictures taken of her secretly everyday. She has a boyfriend who plays sports and a best friend named Nishino Youkou. One day she saw Youkou having rough sex with the new security staff, Kusuda. She stands then in shock when Kusuda pushes up behind her and grabs her…

(Source: hanime.tv)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
