animeTitle	b'Pikaia!!'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Second season of Pikaia!.'
animeRelated	[b'Pikaia!']
animeCharacters	[b'Pikaia', b'Vince', b'Professor Parker', b'Maurice', b'Irma']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nIbata, Yoshihide\n\nDirector, Episode Director, Storyboard\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nMiura, Kazuya\n\nEpisode Director, Storyboard\n\n', b'\nFujisaku, Junichi\n\nScript, Series Composition\n\n']
