animeTitle	Kagami no Genon
animeType	Movie
animeNumEpisode	1
releaseDate	2004-10-17 00:00:00
endDate	
animeNumMembers	2485
animeScore	5.89
animeUsers	1279
animeRank	9076
animePopularity	8872
animeDescription	"A short amateur movie by Kojiro Shishido. Winner at the 10th annual Student CG Contest held in 2005.

It shows great sensitivity towards the delicate gradations of light and shadow in the natural world, with a matching delicate soundtrack by Shishido himself.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
