animeTitle	Mesu Saga: Persona
animeType	OVA
animeNumEpisode	1
releaseDate	2013-07-19 00:00:00
endDate	
animeNumMembers	5475
animeScore	6.49
animeUsers	2020
animeRank	
animePopularity	6758
animeDescription	"Yumi is the ideal wife any man could ask for. She is beautiful, gentle and caring.

However, she is keeping a secret from her husband. There is another side of her that he does not know of. She is worried that her husband would find out about her dark secret, but at the same time her body is enjoying the excitement and happiness. Her husband eventually finds out, and..."
animeRelated	['Mesu Saga']
animeCharacters	['Ishida, Yumi']
animeVoices	['Haduki, Rie']
animeStaff	[['Ishige, Rui', 'Director, Episode Director, Storyboard, Key Animation, Animation Director, Character Design'], ['LINDA', 'Original Creator'], ['Shinkai, Kouki', 'Editing']]
