animeTitle	Tenkousei wa Kounin Kaikeishi!
animeType	OVA
animeNumEpisode	1
releaseDate	2013-03-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16075
animeDescription	A video produced for middle and high school students showcasing the role of CPAs and the importance of audits. The anime aims to make accounting an attractive occupation.
animeRelated	[]
animeCharacters	['Endou, Mai', 'Asako', 'Kenta']
animeVoices	['Taketatsu, Ayana', 'Kaneko, Mayumi', 'Kanbara, Daichi']
animeStaff	[]
