animeTitle	Shinken Densetsu: Tight Road
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13095
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Fioretti, Isabella']
animeVoices	['Kamiyama, Masami']
animeStaff	[['Kaizawa, Yukio', 'Director'], ['Shiramine, Mitsuko', 'Theme Song Lyrics'], ['Fukuda, Michio', 'Animation Director, Character Design'], ['Kanemaki, Kenichi', 'Series Composition']]
