animeTitle	Kekkai
animeType	OVA
animeNumEpisode	1
releaseDate	2002-02-25 00:00:00
endDate	
animeNumMembers	
animeScore	5.29
animeUsers	530
animeRank	
animePopularity	9686
animeDescription	Kyoko was found at the scene of a brutal murder by chief inspector Kaoru. Due to the shock of the incident, Kyoko has lost her memory. Kaoru has asked Junichi, a suave psychiatrist, to help cure Kyoko, only to find out that she has multiple personalities. Who exactly is Kyoko, and what connections does she have to the murder?
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
