animeTitle	Stand My Heroes OVA
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11072
animeDescription	"The OVA will be based on the Narumi Seo character map story event that was featured in the smartphone game in April 2018. Seo, who has a unique memory disorder, will appear alongside other heroes of the Seo Research Laboratory in the OVA.

(Source: MAL News)"
animeRelated	['Stand My Heroes: Piece of Truth']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
