animeTitle	Tachumaru Gekijou
animeType	TV
animeNumEpisode	26
releaseDate	2010-10-04 00:00:00
endDate	2011-03-29 00:00:00
animeNumMembers	285
animeScore	
animeUsers	
animeRank	13644
animePopularity	14749
animeDescription	"A television anime adaptation of the Tachumaru Zukan project. Tachumaru Zukan re-imagines some of Tatsunoko's most popular anime franchises as a newly evolved species of super-deformed animals known as ""Tachuu-rui."" These mysterious ""Tachumaru"" (Tachumals) are ""small and cute,"" but have special fighting moves.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
