animeTitle	Koharu Biyori
animeType	OVA
animeNumEpisode	3
releaseDate	2007-10-15 00:00:00
endDate	2008-03-10 00:00:00
animeNumMembers	19189
animeScore	6.61
animeUsers	9051
animeRank	5571
animePopularity	4058
animeDescription	"Set in a near future, a time where robots are common workers for their owners. Takaya Murase has just purchased a maid robot from a robotic doll distributor, MaidWorks. Ready to live a normal cleaning, cooking, and serving life to her owner, Yui is purchased, by Takaya but he has other plans for her...like dressing her up in dress-costumes of his fantasies and more.

(Source: ANN)"
animeRelated	['Koharubiyori']
animeCharacters	['Yui', 'Murase, Takaya', 'Sumitomo, Minori', 'Sakuya', 'Midou, Ran', 'Kuon', 'Hagiwara, Ayumi', 'Midou, Sumire', 'Shop Owner', 'Hagiwara, Kanae']
animeVoices	['Kitamura, Eri', 'Kondou, Takayuki', 'Akesaka, Satomi', 'Shimizu, Ai', 'Yahagi, Sayuri', 'Koshimizu, Ami', 'Iguchi, Yuka', 'Hayami, Saori', 'Miyake, Kaya', 'Yuzuki, Ryouka']
animeStaff	[['Nakayama, Nobuhiro', 'Producer'], ['Inagaki, Takayuki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Aoshima, Takashi', 'Script, Series Composition']]
