animeTitle	Mars
animeType	OVA
animeNumEpisode	2
releaseDate	1994-06-10 00:00:00
endDate	1994-08-05 00:00:00
animeNumMembers	492
animeScore	
animeUsers	
animeRank	17213
animePopularity	12996
animeDescription	"Mars is the 1st remake of the franchise and restored the original manga's storyline of a young boy in suspended animation inside a South Sea volcano who awakens a century before his alien masters planned to use his powers to reduce human civilization to a manageable low-tech level. 

(Source: The Anime Encyclopedia)"
animeRelated	['Mars', 'Shin Seiki Den Mars', 'Rokushin Gattai GodMars']
animeCharacters	['Mars']
animeVoices	['Sasaki, Nozomu']
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director'], ['Motohashi, Hideyuki', 'Animation Director, Character Design']]
