animeTitle	Rose O'Neill Kewpie
animeType	TV
animeNumEpisode	26
releaseDate	2009-12-02 00:00:00
endDate	2010-05-26 00:00:00
animeNumMembers	308
animeScore	
animeUsers	
animeRank	12987
animePopularity	14451
animeDescription	"Kewpie, the babylike doll that the late American artist Rose O'Neill created for Ladies' Home Journal magazine in 1909, will celebrate its 100th anniversary this December with its first animated project.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Narrator']
animeVoices	['Sasaki, Nozomi']
animeStaff	[['Arakawa, Masatsugu', 'Director'], ['Gouda, Hozumi', 'Sound Director'], ['Machida, Touko', 'Script'], ['Iida, Hiroyoshi', 'Key Animation']]
