animeTitle	b'RPG Densetsu Hepoi'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The adventure of Hepoi, a hero of heporis, Ryuuto, the prince of Dragonia, Miiya Miiya a fairy looks like a cat, and Bunzaemon, a merchant, to defeat Dracunes, the King of dark side castles.'
animeRelated	[]
animeCharacters	[b'Miiya Miiya', b'Ryuuto', b'Hepoi', b'Castle Princess', b'Saint Castle', b'Battle Castle', b'Sister Kate']
animeVoices	[b'\nHisakawa, Aya\nJapanese\n', b'\nKusao, Takeshi\nJapanese\n', b'\nMasuda, Yuuki\nJapanese\n', b'\nNishihara, Kumiko\nJapanese\n', b'\nSugawara, Junichi\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nKawamura, Maria\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMasaki, Shinichi\n\nEpisode Director\n\n', b'\nTsuji, Hatsuki\n\nEpisode Director, Storyboard, Character Design, Chief Animation Director, Animation Director\n\n', b'\nYamada, Takashi\n\nScript, Series Composition\n\n', b'\nYanagawa, Shigeru\n\nScript\n\n']
