animeTitle	Murenase! Seton Gakuen Special
animeType	Special
animeNumEpisode	1
releaseDate	2020-07-03 00:00:00
endDate	
animeNumMembers	11865
animeScore	6.43
animeUsers	4607
animeRank	6484
animePopularity	4988
animeDescription	Unaired episode included with volume 3 of the Blu-ray release. 
animeRelated	['Murenase! Seton Gakuen']
animeCharacters	['Anamitsu, Teru']
animeVoices	[]
animeStaff	[['Yamashita, Bungo', 'Original Creator']]
