animeTitle	Kaiketsu Zorro
animeType	TV
animeNumEpisode	52
releaseDate	1996-04-05 00:00:00
endDate	1997-04-14 00:00:00
animeNumMembers	
animeScore	7.22
animeUsers	4857
animeRank	
animePopularity	5300
animeDescription	Diego Vega returns from his study trip to discover his homeland is under the army's dictatorship. Diego, refusing to watch idly, disguises himself as Zorro to protect the weak and oppressed. Diego is not a coward but he is unable to win the affections of his sweetheart, Lolita, who is attracted to other more noble men. Diego serenades Lolita as Zorro and fights the evils of his homeland, hoping to capture her heart.
animeRelated	[]
animeCharacters	['De La Vega, Diego', 'Lolita', 'Viento', 'Bernard', 'De La Vega, Alejandro', 'Prideaux, Caterina', 'Maria', 'Figaro', 'Tackle', 'Prideaux, Don Carlos']
animeVoices	['Seki, Toshihiko', 'Kawamura, Maria', 'Matsumoto, Rica', 'Sawaki, Ikuya', 'Takizawa, Kumiko', 'Mine, Atsuko', 'Iizuka, Shouzou']
animeStaff	[['Tanaka, Hideyuki', 'Sound Director'], ['Matsuura, Johei', 'Episode Director'], ['Yabuki, Tsutomu', 'Episode Director, Storyboard'], ['Hirano, Yasushi', 'Script, Storyboard']]
