animeTitle	b'Otona no Bouguya-san II'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.48
animeUsers	3114
animeRank	
animePopularity	
animeDescription	b'Second season of Otona no Bouguya-san.'
animeRelated	[b'Otona no Bouguya-san', b'Otona no Bouguya-san (Rimen)']
animeCharacters	[b'Lilietta', b'Kautz', b'Frealica', b'Narden', b'Maou', b'Rose', b'Mokuku']
animeVoices	[b'\nTouyama, Nao\nJapanese\n', b'\nIshii, Mark\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nTakahashi, Chiaki\nJapanese\n', b'\nOomori, Nichika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Junichi\n\nDirector, Series Composition\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nAyamiya, Fumi\n\nOriginal Creator\n\n', b'\nIwanaga, Kousuke\n\nCharacter Design\n\n']
