animeTitle	Kikou Senki Dragonar
animeType	TV
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	716
animeRank	
animePopularity	7271
animeDescription	" A.D. 2087 - the United Lunar Empire Giganos wages war on the Earth Federation Military to take control of the planet and establish a ""rebirth"" of the human race. During an invasion of a colony by Giganos' forces, three civilian men stumble upon a trio of top-secret Metal Armor units called ""Dragonars"" and pilot them to combat the enemy forces. 
"
animeRelated	[]
animeCharacters	['Oceano, Tapp', 'Wakaba, Kaine', 'Newman, Light', 'Plato, Meio', 'Min, Lee Sue', 'Plato, Lang', 'Plato, Linda', 'Rooney, Ben', 'Lance, Diane', 'Pattenton, Rose']
animeVoices	['Ootsuka, Houchuu', 'Kikuchi, Masami', 'Horiuchi, Kenyuu', 'Kosugi, Juurouta', 'Shimazu, Saeko', 'Chiba, Kouichi', 'Fujii, Kayoko', 'Shimaka, Yuu', 'Katsuki, Masako', 'Hiramatsu, Akiko']
animeStaff	[['Kanda, Takeyuki', 'Director, Storyboard'], ['Fukuda, Mitsuo', 'Episode Director, Storyboard'], ['Hoshiyama, Hiroyuki', 'Script'], ['Matsuzaki, Kenichi', 'Script, Screenplay']]
