animeTitle	Heisa Byoutou
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	585
animeRank	
animePopularity	9099
animeDescription	"Satsuki, quiet and shy nurse of Ishikawa General Hospital, only wants to make a good impression, but she keeps screwing everything up. When she accidentally gives an aching patient the wrong medication, he cons her into releasing his pain with a healthy dose of hot and heavy sex - but by the end, it's Satsuki that's moaning in pleasure. Now, Satsuki will make sure that all of her mistakes are remedied with a little sexual therapy. But is she taking things too far. And what would her co-workers say if they knew... 

(Source: ANN)"
animeRelated	['Heisa Byouin']
animeCharacters	['Aoyagi, Satsuki', 'Katou, Yuriko', 'Nurse', 'Director', 'Doctor', 'Mom', 'Takebayashi, Junichirou', 'Ota, Naho', 'Ishikawa, Hideyuki', 'Nakamura, Midori']
animeVoices	['Hitomi', 'Honma, Yukari']
animeStaff	[['Omata, Shinichi', 'Producer'], ['Satsumaya, Jouki', 'Character Design'], ['Yoshi.Hoka', 'Music']]
