animeTitle	b'Aibeya The Animation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	4326
animeRank	
animePopularity	
animeDescription	b'With his parents abroad and his house in renovation all of a sudden, Kouta Kazama ends up staying at the home of his neighbor, Aki Hayama, sharing a room with her. Being childhood friends, they used to be very close, but now, as a man and woman sleeping together, it might not take too long for them to realize their true feelings for each other.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Aibeya: Osananajimi no Ie de, Honto no Koi wo Shiru Tame no Dousei Seikatsu', b'Aikagi The Animation']
animeCharacters	[b'Hayami, Aki', b'Kazama, Kouta']
animeVoices	[b'\nMomoyama, Ion\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHorikawa, Kazuto\n\nEditing, Director of Photography\n\n']
