animeTitle	Sara Ke Puccho
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16867
animeDescription	UHA Mikakutou is a candy company that makes a chewy confectionery called Puccho. The candy has mascots and the company collaborated with Ryou Inoue for an anime short with these mascots in a Revolutionary Girl Utena inspired feature. Special LINE stamps were also available in honor of the collaboration.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
