animeTitle	Naze Nani Dendrogram
animeType	ONA
animeNumEpisode	20
releaseDate	2019-09-27 00:00:00
endDate	2020-04-17 00:00:00
animeNumMembers	312
animeScore	
animeUsers	
animeRank	12315
animePopularity	14521
animeDescription	A series of short specials where Cheshire, Nemesis and Shu explain the world of VRMMO Infinite Dendrogram.
animeRelated	['Infinite Dendrogram', 'Naze Nani Dendrogram Episode 0']
animeCharacters	['Nemesis', 'Starling, Shu ', 'Cheshire', 'Xunyu']
animeVoices	[]
animeStaff	[]
