animeTitle	Azuki-chan the Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	320
animeRank	
animePopularity	11579
animeDescription	"It's Valentines' Day, the girls are thinking about the chocolate to give to their love.  Youko is having a party on the Valentines' Day.  The girls refused her invite, but found out that their love are going to her party, even Azuki-chan's brother is going!

Yunosuke-kun gave Azuki-chan a chance to give chocolate to him before Youko's party.  Will she be successful in making a chocolate?  Will Yunosuke-kun receive her love?"
animeRelated	['Azuki-chan']
animeCharacters	['Ogasawara, Yuunosuke', 'Kodama, Midori', 'Noyama, Azusa', 'Nishino, Kaoru', 'Takayanagi, Ken', 'Noyama, Daizu', 'Sakakibara, Youko']
animeVoices	['Miyazaki, Issei', 'Matsumoto, Rica', 'Yukana', 'Kawata, Taeko', 'Madono, Mitsuaki', 'Kozakura, Etsuko', 'Sakuma, Rei']
animeStaff	[['Kojima, Masayuki', 'Director, Storyboard'], ['Kawajiri, Yoshiaki', 'Character Design'], ['Akimoto, Yasushi', 'Original Creator'], ['Hara, Hiroshi', 'Key Animation']]
