animeTitle	Oshin
animeType	Movie
animeNumEpisode	1
releaseDate	1984-03-17 00:00:00
endDate	
animeNumMembers	702
animeScore	
animeUsers	
animeRank	12625
animePopularity	12057
animeDescription	"Oshin comes from a family of poor rice farmers. Her father and brother must work in the fields and her grandmother and mother, who is expecting another child, barely have enough to eat. In order to make ends meet for her family, 7-year-old Oshin gives up school and decides to become a servant in the household of a wealthy family, where she faces trials and tribulation beyond her worst fears.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
