animeTitle	Ippatsu Kanta-kun
animeType	TV
animeNumEpisode	53
releaseDate	1977-09-18 00:00:00
endDate	1978-09-24 00:00:00
animeNumMembers	
animeScore	6.03
animeUsers	188
animeRank	
animePopularity	12420
animeDescription	"Kanta lives with his mother, brothers, sisters, and dog named Judeth. He likes baseball, but his mom doesn't like him mentioning baseball, because his mother believes this was the cause of her husband's death. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Tobase, Kanta', 'Tobase, Mutsuko', 'Tobase, Goshi', 'Tobase, Shirou', 'Tobase, Youkichi', 'Yakyuu, Juubei', 'Tobase, Jirou', 'Tobase, Kumiko', 'Tomoe', 'Kotarou']
animeVoices	['Oota, Yoshiko', 'Yokozawa, Keiko', 'Komiya, Kazue', 'Suzuki, Reiko', 'Oohira, Tooru', 'Shiozawa, Kaneto', 'Asou, Miyoko', 'Tsukase, Noriko']
animeStaff	"[['Sasagawa, Hiroshi', 'Director'], ['Ueda, Hidehito', 'Episode Director'], ['Nunokawa, Yuuji', 'Episode Director'], [""Koorogi '73"", 'Theme Song Performance, Inserted Song Performance']]"
