animeTitle	b'Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""These are witches who defend everyone's smiles and fight enemies through the healing power of music. These witches, opposite of those in the defense fleet, are idols known as the Music Squadron.\n\n(Source: MAL News)"""
animeRelated	[b'Strike Witches']
animeCharacters	[b'Robertson, Virginia', b'Dietrich, Maria Magadalene', b'Hato, Manaia Matawhaura', b'Cariello, Sylvie', b'Stafford, Joanna Elizabeth', b'Gassion, Eleonore Giovanna', b'Shibuya, Inori', b'Ruslanova, Lyudmila Andreyevna', b'Linnamaa, Aila Paivikki', b'Steward, Grace Maitland']
animeVoices	[b'\nNarumi, Mai\nJapanese\n', b'\nHanae, Momo\nJapanese\n', b'\nYuuki, Misaki\nJapanese\n', b'\nKotosaka, Miu\nJapanese\n', b'\nTachibana, Kyou\nJapanese\n', b'\nTsuzuki, Sayaka\nJapanese\n', b'\nHosokawa, Minako\nJapanese\n', b'\nAimoto, Ami\nJapanese\n', b'\nMamiya, Ryou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKubota, Mitsutoshi\n\nProducer\n\n', b'\nSaeki, Shouji\n\nDirector, Series Composition\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nShimada, Humikane\n\nOriginal Character Design\n\n']
