animeTitle	Recorder to Randoseru
animeType	OVA
animeNumEpisode	2
releaseDate	2012-07-17 00:00:00
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	6720
animeRank	
animePopularity	4880
animeDescription	Unaired episodes bundled with the special edition of volume 4 of the original manga. 
animeRelated	['Recorder to Randoseru', 'Recorder to Randoseru Re♪', 'Recorder to Randoseru Mi☆']
animeCharacters	['Miyagawa, Atsushi', 'Miyagawa, Atsumi', 'Takahashi, Sayo', 'Take-nii', 'Kijima', 'Jun-chan', 'Midori', 'Hina-chan', 'Moriyama, Futami', 'Miura']
animeVoices	['Okiayu, Ryoutarou', 'Kugimiya, Rie', 'Hirano, Aya', 'Sakurai, Takahiro', 'Akesaka, Satomi', 'Toujou, Sayako', 'Kashiyama, Nanami', 'Uchida, Aya', 'Tamiyasu, Tomoe', 'Kitaoka, Chiharu']
animeStaff	[['Tada, Aoi', 'Theme Song Performance'], ['Toujou, Sayako', 'Theme Song Performance'], ['Higashiya, Meme', 'Original Creator']]
