animeTitle	Hayate no Gotoku! Heaven Is a Place on Earth
animeType	Movie
animeNumEpisode	1
releaseDate	2011-08-27 00:00:00
endDate	
animeNumMembers	34365
animeScore	7.16
animeUsers	16689
animeRank	3056
animePopularity	3060
animeDescription	"Hayate, Nagi and the gang spend the last days of summer break at Nishizawa's countryside vacation home. But a mysterious spirit has concocted a scheme to separate the butler from his young mistress. 

(Source: ANN) "
animeRelated	"['Hayate no Gotoku!', 'Hayate no Gotoku!!', ""Hayate no Gotoku! Can't Take My Eyes Off You""]"
animeCharacters	['Ayasaki, Hayate', 'Sanzenin, Nagi', 'Katsura, Hinagiku', 'Maria', 'Saginomiya, Isumi', 'Nishizawa, Ayumu', 'Segawa, Izumi', 'Suirenji, Ruka', 'Aizawa, Sakuya', 'Tama']
animeVoices	['Shiraishi, Ryouko', 'Kugimiya, Rie', 'Itou, Shizuka', 'Tanaka, Rie', 'Matsuki, Miyu', 'Takahashi, Mikako', 'Yahagi, Sayuri', 'Yamazaki, Haruka', 'Ueda, Kana']
animeStaff	[['Matsuda, Akio', 'Producer'], ['Suzuki, Takeyuki', 'Producer'], ['Komori, Hideto', 'Director, Episode Director, Storyboard, Key Animation, Character Design, Chief Animation Director, Animation Director'], ['Iwanami, Yoshikazu', 'Sound Director']]
