animeTitle	Rain Town
animeType	ONA
animeNumEpisode	1
releaseDate	2011-03-06 00:00:00
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	12373
animeRank	
animePopularity	3795
animeDescription	"An independent animated short-film by Hiroyasu Ishida, the animator of Fumiko no Kokuhaku. 

In a small, forgotten town where the rain never stops, a chance encounter between a robot and an inquisitive little girl brings back memories and a chance reunion with a girl the girl the robot has never forgotten."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
