animeTitle	Warabigami: Ten no Komoriuta
animeType	Music
animeNumEpisode	1
releaseDate	2002-02-01 00:00:00
endDate	
animeNumMembers	84
animeScore	
animeUsers	
animeRank	14139
animePopularity	17979
animeDescription	Music video for the song Warabigami: Ten no Komoriuta by Junko Yamamoto that was featured on NHK's Minna no Uta program. The song is a cover of Okinawan singer Misako Koja's Warabigami. The video features illustrations by Okinawan artist Nakachi Nobuhide.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
