animeTitle	Break Blade 3: Kyoujin no Ato
animeType	Movie
animeNumEpisode	1
releaseDate	2010-09-25 00:00:00
endDate	
animeNumMembers	
animeScore	7.8
animeUsers	34267
animeRank	
animePopularity	2354
animeDescription	Third Break Blade movie.
animeRelated	['Break Blade', 'Break Blade 2: Ketsubetsu no Michi', 'Break Blade 4: Sanka no Chi']
animeCharacters	['Arrow, Rygart', 'Erster, Sigyn', 'Zess', 'Girge', 'Zaubraff, Cleo', 'Borcuse', 'Stryze, Narvi', 'Hodr', 'True', 'Baldr']
animeVoices	['Hoshi, Souichirou', 'Saitou, Chiwa', 'Kamiya, Hiroshi', 'Toriumi, Kousuke', 'Hanazawa, Kana', 'Nakai, Kazuya', 'Inoue, Marina', 'Nakamura, Yuuichi', 'Ogata, Kenichi', 'Sugawara, Masashi']
animeStaff	[['Hirasawa, Nao', 'Producer'], ['Habara, Nobuyoshi', 'Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Foster, Steven', 'Script, ADR Director']]
