animeTitle	Jitaku Keibiin 2
animeType	OVA
animeNumEpisode	8
releaseDate	2020-03-27 00:00:00
endDate	2021-07-30 00:00:00
animeNumMembers	4408
animeScore	6.41
animeUsers	1152
animeRank	
animePopularity	7392
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Jitaku Keibiin']
animeCharacters	['Haibara, Hikimori', 'Haibara, Reina', 'Haibara, Shiho', 'Haibara, Shieri']
animeVoices	[]
animeStaff	[]
