animeTitle	Amaenaide yo!!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	31805
animeRank	
animePopularity	2074
animeDescription	"Satonaka Ikkou, a 16 year old boy, is a first year trainee at the Saienji Buddhist Temple. He was sent there by his parents to be trained by his grandmother, the Saienji Priestess. At the temple he finds himself surrounded by beautiful female priestesses-in-training. Upon seeing a girl naked, Ikko has the ability to turn into a super-monk, performing massive exorcisms for the good of the temple.

(Source: ANN)
"
animeRelated	['Amaenaide yo!!', 'Amaenaide yo!! Katsu!!', 'Amaenaide yo!!: Yasumanaide yo!!']
animeCharacters	['Nanbu, Chitose', 'Satonaka, Ikkou', 'Sugai, Hinata', 'Amanogawa, Haruka', 'Atouda, Yuuko', 'Ikuina, Sumi', 'Ayako', 'Sugai, Sakura', 'Yanagi', 'Yume, Karyuudo']
animeVoices	['Nakahara, Mai', 'Suzuki, Chihiro', 'Shintani, Ryouko', 'Watanabe, Akeno', 'Higuchi, Chieko', 'Kawakami, Tomoko', 'Mizuki, Nana', 'Nanao, Haruhi', 'Hatano, Wataru', 'Masukawa, Yoichi']
animeStaff	[['Motonaga, Keitarou', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Sokuza, Makoto', 'Episode Director'], ['Okamoto, Hideki', 'Episode Director']]
