animeTitle	Ninja Hattori-kun Plus Perman: Chounouryoku Wars
animeType	Movie
animeNumEpisode	1
releaseDate	1984-03-17 00:00:00
endDate	
animeNumMembers	604
animeScore	6.11
animeUsers	203
animeRank	8091
animePopularity	12502
animeDescription	"Crossover film featuring both of Motoo Abiko's work. Both casts gets wrapped up in an ESP war helping a psychic girl named Yuri whose homeland was destroyed by an evil psychic man who is trying to capture all the psychics in the world and use them for world domination.

It was screened as a double feature with Doraemon: Nobita no Makai Daibouken."
animeRelated	['Ninja Hattori-kun', 'Perman (1983)']
animeCharacters	['Hattori, Kanzou', 'Suwa, Mitsuo', 'Hattori, Shinzou', 'Booby', 'Ouyama, Houzen', 'Kemumaki, Kemuzou', 'Mitsuba, Kenichi', 'Kawai, Yumeko']
animeVoices	['Hori, Junko', 'Miwa, Katsue', 'Mita, Yuuko', 'Ootake, Hiroshi', 'Kimotsuki, Kaneta', 'Sugaya, Masako']
animeStaff	[['Sasagawa, Hiroshi', 'Director'], ['Kikuchi, Shunsuke', 'Music'], ['Sakurai, Masaaki', 'Screenplay'], ['Matsuda, Akihiko', 'Sound Effects']]
