animeTitle	Ao Ashi
animeType	TV
animeNumEpisode	Unknown
releaseDate	2022-04-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	8362
animeDescription	"Ashito Aoi is a young, aspiring soccer player from a backwater town in Japan. His hopes of getting into a high school with a good soccer club are dashed when he causes an incident during a critical match for his team, which results in their loss and elimination from the tournament. Nevertheless, he catches the eye of someone important who happened to be visiting from Tokyo. How will things turn out for Ashito? 

(Source: Shogakukan Asia)"
animeRelated	['Ao Ashi']
animeCharacters	['Takeshima, Ryuuichi', 'Motoki, Yuuma', 'Asari, Marchis Jun', 'Kuroda, Kanpei', 'Togashi, Keiji']
animeVoices	[]
animeStaff	[['Kobayashi, Yuugo', 'Original Creator, Original Character Design'], ['Ueno, Naohiko', 'Original Creator']]
