animeTitle	b'Maryuu Senki'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.15
animeUsers	679
animeRank	
animePopularity	
animeDescription	"b'Once upon a time, there was a certain family having strong influence on the rule of the Imperial Court. They had their own might called ""Kidou"" and yet got hated because of the might itself. At last, the patriarch of the family was entrapped to his death, and all the family was doomed to ruin... The present day \xe2\x80\x94 the survived descendants of this family, now calling themselves ""Kidousyuu"" schemed to resurrect their murdered patriarch once again, and the ferocious evil spell went into action.\n\n(Source: BakaBT)'"
animeRelated	[b'Gakuen Tokusou Hikaruon', b'Call Me Tonight', b'Body Jack: Tanoshii Yutai Ridatsu']
animeCharacters	[b'Hiyuu, Kyouichi', b'Chiyoe, Miki']
animeVoices	[b'\nGenda, Tesshou\nJapanese\n', b'\nIkeda, Shuuichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Junichi\n\nScript\n\n', b'\nYamanaka, Norimasa\n\nTheme Song Arrangement, Music\n\n', b'\nYaginuma, Kazuyoshi\n\nKey Animation\n\n', b'\nOnda, Naoyuki\n\nCharacter Design\n\n']
