animeTitle	b'Long Riders!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	8022
animeRank	
animePopularity	
animeDescription	"b'Falling in love at first sight with a collapsible bicycle outside the station, Ami Kurata, first-year university student empties her account without a second thought and buys the bicycle. Now she enjoys weekend cycling trips with Aoi, her childhood friend, and Hinako, a senior at her university. ""Owning a road bike may change your view of the world completely."" Prompted by the comment, Ami purchased a road bike, and she is really impressed with the traveling performance. As soon as she places her feet on the pedals and presses down, everything about riding a road bicycle\xe2\x80\x94the lightness of the pedal, the speed, the acceleration\xe2\x80\x94is nothing like she has ever experienced. Ami\'s cycle life gets going with the new road cycle as her partner!\n\n(Source: Showgate, edited)'"
animeRelated	[b'Long Riders!', b'Long Riders! Recap']
animeCharacters	[b'Kurata, Ami', b'Saijou, Hinako', b'Niigaki, Aoi', b'Ichinose, Yayoi', b'Takamiya, Saki', b'Saeki, Miya', b'Paca-san', b'Kurata, Emi']
animeVoices	[b'\nTouyama, Nao\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nIgarashi, Hiromi\nJapanese\n', b'\nKurosawa, Yurika\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nKusuda, Aina\nJapanese\n', b'\nToujou, Sayako\nJapanese\n', b'\nWatanabe, Yui\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKisara, Youhei\n\nProducer\n\n', b'\nYoshihara, Tatsuya\n\nDirector, Episode Director, Storyboard, Key Animation\n\n', b'\nMorishita, Hiroto\n\nSound Director\n\n', b'\nChina\n\nEpisode Director, Storyboard, Animation Director\n\n']
